threads	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
2	0.0014370696246623993	0.0003441909250424093	0.0	0.0	4.435001313686371e-07	8.678983911674451e-09	0.15	0.2714774392099647	704871.6746350852	35524.11992374481
3	0.0009567054212093353	4.1292122189950605e-05	0.0	0.0	4.517879784107208e-07	6.738163726485196e-08	1.0228000000000002	1.0929227603083393	1047588.1909260275	44365.0054092037
4	0.0007158292233943939	7.10577900834945e-05	0.0	0.0	4.962563812732697e-07	1.5473158289528167e-07	0.0912	0.16199555549458755	1410682.4628649342	128720.72331924525
5	0.0010001084208488464	8.133790511515939e-05	0.0	0.0	2.1632210314273832e-06	1.6579394898715063e-07	1.5643999999999998	1.6941701921589816	1005578.2096987087	48983.14517851893
6	0.0014304135739803313	0.00011326612056960337	0.0	0.0	5.2749325037002565e-06	5.89199540950266e-07	48.690400000000004	21.89256467022537	706482.3942427137	64765.2512251772
7	0.001368189662694931	3.330473738304426e-05	0.0	0.0	6.265466868877411e-06	1.6615607354011913e-07	87.42760000000001	16.321666527655807	734257.9006321594	17789.35197554657
8	0.0012974010407924652	0.00011816038962723588	0.0	0.0	7.119641214609146e-06	8.100733619209027e-07	88.6276	18.775959049806218	779919.544191314	58212.961253334215
9	0.0014350370466709138	0.00024446113266256536	0.0	0.0	9.456231027841569e-06	1.9677906871399788e-06	106.60560000000001	15.143940327404886	715838.948327756	87379.09720345213
10	0.001594351887702942	0.00032016778228118314	0.0	0.0	1.2309352993965149e-05	2.882703538083985e-06	105.6868	15.515755404104565	654303.7130957305	113289.32668338441
11	0.0014893819093704224	0.00030482349093478617	0.0	0.0	1.2824465572834015e-05	3.0470213847023753e-06	115.8212	13.911537318355583	700621.4029285026	117454.50429920737
12	0.0014726580381393432	0.0002593201318409034	0.0	0.0	1.4023949146270754e-05	2.835563508013004e-06	126.7028	11.067611854415569	701670.1949052479	93919.7615102746
13	0.0015267710089683533	0.00031855783527808896	0.0	0.0	1.6158531635999682e-05	3.831916916702848e-06	122.26079999999999	10.178796754037286	684937.2271677395	112463.50622062205
14	0.001490648716688156	0.0002895908033078185	0.0	0.0	1.7154391139745713e-05	3.772336178739299e-06	128.30720000000002	10.784694161634812	698573.0335992498	104728.45991823956
15	0.001337260514497757	2.802188018782208e-05	0.0	0.0	1.643455636501312e-05	3.5804264643958957e-07	133.4804	9.258093531607898	757250.6931403625	15625.888661128456
