cycles	meanTime	stddTime	meanFail	stddFail	meanWait	stddWait	meanFair	stddFair	meanTP	stddTP
24	0.0006375566869974137	2.5597365073928054e-05	0.0	0.0	6.902717903256415e-05	3.2015796964390998e-06	153.028	2.547943484459568	884646.0953176076	39625.42977167599
25	0.0006410306692123413	2.829248078588376e-05	0.0	0.0	6.940023958683013e-05	3.531440413566588e-06	153.20999999999998	2.9772974322361505	880153.9313961085	42678.18849679636
26	0.0006385594606399536	3.458449251729806e-05	0.0	0.0	6.905651286244393e-05	4.322424078430241e-06	152.526	3.346240278282472	884741.2384758258	57087.79784775929
27	0.0006326211988925934	3.907209666561053e-05	0.0	0.0	6.837289363145829e-05	4.919049751300116e-06	153.62199999999999	3.1905980630596473	893902.5818280599	64453.50738033976
28	0.0006460805982351303	2.6053995606332172e-05	0.0	0.0	7.005808919668198e-05	3.2742359336490557e-06	151.68999999999997	2.621812350264599	873027.1204702221	40220.873557295585
29	0.0006280726939439774	3.9227641056100065e-05	0.0	0.0	6.778459638357162e-05	4.9520995380722166e-06	156.268	3.6415623020895733	900403.5915960957	64540.486708975506
30	0.0006249740719795227	4.31731629355296e-05	0.0	0.0	6.736745655536652e-05	5.421812820669283e-06	162.4219999999999	3.326246533256307	905901.7216663612	73676.39329678775
31	0.0006209614872932434	4.1535994103568806e-05	0.0	0.0	6.686527863144874e-05	5.239480468354752e-06	159.25999999999996	4.263378941637699	911206.6712902522	68439.42713042903
32	0.0006392018496990204	2.866729127308613e-05	0.0	0.0	6.916473507881165e-05	3.5851116875784417e-06	153.438	3.7277011682805155	882703.1754554615	43163.68665418413
33	0.000655302107334137	9.285550465557176e-06	0.0	0.0	7.11824469268322e-05	1.1385949764678555e-06	151.24599999999998	3.1311154561912864	858986.3699023031	12470.027128339183
34	0.0006544388085603714	2.2245644086111527e-05	0.0	0.0	7.105859577655793e-05	2.804604831335099e-06	149.246	3.650627891198991	860930.3002936539	34187.40923009648
35	0.0006809577345848084	0.00018038125420937457	0.0	0.0	7.187270268797875e-05	3.1321544099979517e-06	147.866	3.449991884048416	844369.7510827605	73706.60799841187
36	0.0006720966845750808	3.1584794657124345e-05	0.0	0.0	7.299252033233643e-05	2.9835968126210988e-06	146.828	3.4234508905488816	839107.5521978278	38035.08922581279
37	0.0006452859938144684	5.133518044552523e-05	0.0	0.0	6.975760862231254e-05	6.424530112599472e-06	147.31000000000003	4.43814150292664	877822.9772658382	81367.67634937374
38	0.0006175101548433304	7.060615218347816e-05	0.0	0.0	6.632107213139534e-05	8.857577482830991e-06	148.668	6.671085069162271	924006.8178002574	118616.35892520279
39	0.0006401728838682175	7.797178388596237e-05	0.0	0.0	6.913318395614625e-05	9.798771976655418e-06	148.46600000000004	6.4600962841121685	893818.0496682203	125597.55385548009
40	0.0006257027387619018	7.520220621587486e-05	0.0	0.0	6.73216262459755e-05	9.469046406176841e-06	147.56000000000006	6.46374504447691	913268.0583294583	119391.07579176917
41	0.000635538101196289	8.267710798904237e-05	0.0	0.0	6.853423222899437e-05	1.043466447751391e-05	148.75600000000006	7.071892533120093	901874.7497857666	130075.64133726823
42	0.0006192370504140854	8.174444578419483e-05	0.0	0.0	6.647011741995813e-05	1.027101665516873e-05	149.35399999999998	7.840553806970506	925557.7526296765	130957.28833077704
43	0.0006435869634151459	7.214024906961175e-05	0.0	0.0	6.953512594103812e-05	9.087938948753641e-06	147.372	5.7369692347092	886327.4259987768	110941.00904170678
44	0.0006553217023611068	6.880544017029152e-05	0.0	0.0	7.105657756328583e-05	8.651950968547123e-06	148.18800000000005	6.709266427859289	869068.4928923132	104616.46552737523
45	0.0006732242554426194	4.3812882647037585e-05	0.0	0.0	7.327163219451904e-05	5.540625899986206e-06	145.96400000000006	2.9118214230958546	839134.243712475	58528.49164968559
46	0.0006707267463207245	6.009465172136759e-05	0.0	0.0	7.292137250304222e-05	7.564343787328209e-06	147.18200000000002	4.379689030056804	846230.3731102266	88322.60803386256
47	0.0006815145164728165	5.084424600703202e-05	0.0	0.0	7.432480767369269e-05	6.42061002671852e-06	146.36400000000003	4.497677622951642	830568.121144408	72045.1774428755
48	0.0006850950419902801	4.791003929613638e-05	0.0	0.0	7.47629050910473e-05	6.012199606825324e-06	147.04000000000005	3.843852234412741	825388.0753740831	65943.76361489554
49	0.0006937161087989807	4.91419591684962e-05	0.0	0.0	7.585668995976448e-05	6.183971372734485e-06	146.924	3.5315469698136432	815455.7715423781	66644.55489503808
50	0.0007102642208337784	3.793925562911036e-05	0.0	0.0	7.793006300926207e-05	4.764410068448038e-06	147.4	3.66824208579531	794553.7031912584	52498.79056932222
51	0.0007110770791769027	2.982226327459619e-05	0.0	0.0	7.802055478096008e-05	3.7252593832121994e-06	147.07200000000003	3.1415308370283395	792375.7545168616	37052.50102208579
52	0.000718279480934143	2.6042281815564275e-05	0.0	0.0	7.896755188703537e-05	3.2623821931557884e-06	148.42000000000002	4.160913361270563	784075.6854654676	32173.855679425433
53	0.0007208660989999771	1.783564249533705e-05	0.0	0.0	7.92587572336197e-05	2.2293361446102777e-06	147.054	3.5342727681943185	780745.1186883124	20387.669768288622
54	0.0007186369597911835	2.2177024630857546e-05	0.0	0.0	7.899497404694555e-05	2.7736831018744605e-06	147.51	3.1140166987349205	783298.6912950169	26072.551916876095
55	0.0007181461155414581	2.1516506843570032e-05	0.0	0.0	7.896076634526253e-05	2.7174691023620157e-06	147.33800000000002	3.677792272546119	783698.0107418157	25604.97945985372
56	0.0007236670702695846	1.4814139808485116e-05	0.0	0.0	7.95955689251423e-05	1.800939777657371e-06	148.03600000000003	3.30349875132411	777458.644835737	16306.877730344373
